Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Variance,Fwd Header Length,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Active Std,Idle Std,Fwd Push Flags Count,Fwd URG Flags Count,Label
32.0749859810,75.6976168731,0.8106005102,26,68,101,93.3846153846,13.9037264597,193.3136094675,0,1.2336533070,1.7196009742,32.0749859810,0.2793986702,2.3971985435,26,0,benign
33.8269710541,99.8020187679,1.1233639553,38,68,101,88.8421052632,15.9184208351,253.3961218837,0,0.8901834488,1.1516532985,33.8269710541,0.2740730349,1.7172551006,38,0,benign
0.0000000001,1470000000000.0000000000,10000000000.0000000000,1,147,147,147.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
9.2289309502,274.4629918327,3.1422924450,29,68,101,87.3448275862,16.2529060788,264.1569560048,0,0.3182389983,0.3451097265,9.2289309502,0.1777975743,0.2955294847,29,0,benign
33.2183659077,93.5024922247,1.0536340077,35,68,101,88.7428571429,15.9451611238,254.2481632653,0,0.9490961688,1.6974317572,33.2183659077,0.2511731256,2.6628275481,35,0,benign
0.0000000001,1300000000000.0000000000,10000000000.0000000000,1,130,130,130.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
32.9407858849,93.2886061292,1.0625125983,35,68,101,87.8000000000,16.1666323024,261.3600000000,0,0.9411653110,1.5309130001,32.9407858849,0.2398528631,2.3847306450,35,0,benign
0.0000000001,1150000000000.0000000000,10000000000.0000000000,1,115,115,115.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
8.7771229744,146.2893938875,1.7089882463,15,68,101,85.6000000000,16.4632925018,271.0400000000,0,0.5851415316,0.4952113761,8.7771229744,0.2031939712,0.3183255640,15,0,benign
26.9570989609,205.2149605575,2.2257587913,60,68,101,92.2000000000,14.5931490776,212.9600000000,0,0.4492849827,0.8457081954,26.9570989609,0.2161187982,1.8827860590,60,0,benign
0.0000000001,980000000000.0000000000,10000000000.0000000000,1,98,98,98.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
32.7437019348,98.8892461349,1.0689078489,35,68,101,92.5142857143,14.4229409099,208.0212244898,0,0.9355343410,1.8617864164,32.7437019348,0.2574701613,2.9120620684,35,0,benign
0.0000000001,800000000000.0000000000,10000000000.0000000000,1,80,80,80.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,1300000000000.0000000000,10000000000.0000000000,1,130,130,130.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
32.8533899784,53.5104596864,0.6392034434,21,68,101,83.7142857143,16.4812818998,271.6326530612,0,1.5644471418,2.1674663935,32.8533899784,0.2486267713,2.5228138290,21,0,benign
32.9257240295,68.6089696303,0.7289133560,24,68,101,94.1250000000,13.4018422241,179.6093750000,0,1.3719051679,4.7745135247,32.9257240295,0.2458427656,9.9916955874,24,0,benign
7.7239670753,275.1176926663,2.9777444383,23,68,101,92.3913043478,14.4905940420,209.9773156900,0,0.3358246554,0.3549922366,7.7239670753,0.2580797403,0.0000000000,23,0,benign
31.3096578121,79.8475670032,0.9262317772,29,68,101,86.2068965517,16.4114747711,269.3365041617,0,1.0796433728,1.7195006438,31.3096578121,0.2634153685,2.3543026546,29,0,benign
25.7377929688,150.7899299956,1.6706949214,43,68,101,90.2558139535,15.4635250099,239.1206057328,0,0.5985533249,1.0237524224,25.7377929688,0.2617216876,1.6748371243,43,0,benign
0.0000000001,1250000000000.0000000000,10000000000.0000000000,1,125,125,125.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,770000000000.0000000000,10000000000.0000000000,1,77,77,77.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,930000000000.0000000000,10000000000.0000000000,1,93,93,93.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,840000000000.0000000000,10000000000.0000000000,1,84,84,84.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,890000000000.0000000000,10000000000.0000000000,1,89,89,89.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,930000000000.0000000000,10000000000.0000000000,1,93,93,93.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,1160000000000.0000000000,10000000000.0000000000,1,116,116,116.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,1220000000000.0000000000,10000000000.0000000000,1,122,122,122.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,720000000000.0000000000,10000000000.0000000000,1,72,72,72.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
0.0000000001,1000000000000.0000000000,10000000000.0000000000,1,100,100,100.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
29.9357540607,144.3758520741,1.6368386746,49,68,101,88.2040816327,16.0788612550,258.5297792586,0,0.6109337563,1.1090621735,29.9357540607,0.2733832547,2.1202921844,49,0,benign
30.0265288353,194.4613722095,2.1647523880,65,68,101,89.8307692308,15.6151496761,243.8328994083,0,0.4619465975,1.1660350965,30.0265288353,0.2158322165,3.4251792306,65,0,benign
30.0267529488,117.9281691245,1.2655381041,38,68,101,93.1842105263,14.0297714712,196.8344875346,0,0.7901777092,1.9455611222,30.0267529488,0.2304309090,3.8163388991,38,0,benign
29.9881658554,157.5288072894,1.7340173537,52,68,101,90.8461538462,15.2307692308,231.9763313609,0,0.5766954972,1.2739956628,29.9881658554,0.2389182505,2.6584323402,52,0,benign
30.0709638596,108.7760277747,1.1639134736,35,68,101,93.4571428571,13.8571134020,192.0195918367,0,0.8591703960,2.1272758680,30.0709638596,0.2383712025,4.2236377306,35,0,benign
