Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
3269,0.5,1.0,0.9979605710401088,0.9989792446410344
3270,0.5,1.0,0.9979619565217391,0.9989799387963277
3271,0.5,1.0,0.9979619565217391,0.9989799387963277
3272,0.5,1.0,0.9979633401221996,0.9989806320081549
3273,0.5,1.0,0.9979633401221996,0.9989806320081549
3274,0.5,1.0,0.9979647218453188,0.998981324278438
3275,0.5,1.0,0.9979647218453188,0.998981324278438
3276,0.5,1.0,0.9979661016949153,0.9989820156090939
3277,0.5,1.0,0.9979661016949153,0.9989820156090939
3278,0.5,1.0,0.9979674796747967,0.9989827060020345
3279,0.5,1.0,0.9979674796747967,0.9989827060020345
3280,0.5,1.0,0.997968855788761,0.9989833954591664
3281,0.5,1.0,0.997968855788761,0.9989833954591664
3282,0.5,1.0,0.9979702300405954,0.9989840839823908
3283,0.5,1.0,0.9979702300405954,0.9989840839823908
3284,0.5,1.0,0.9979716024340771,0.9989847715736041
3285,0.5,1.0,0.9979716024340771,0.9989847715736041
3286,0.5,1.0,0.9979729729729729,0.9989854582346973
3287,0.5,1.0,0.9979729729729729,0.9989854582346973
3288,0.5,1.0,0.9979743416610398,0.9989861439675566
3289,0.5,1.0,0.9979743416610398,0.9989861439675566
3290,0.5,1.0,0.9979757085020243,0.9989868287740629
3291,0.5,1.0,0.9979757085020243,0.9989868287740629
3292,0.5,1.0,0.9979770734996628,0.9989875126560918
3293,0.5,1.0,0.9979770734996628,0.9989875126560918
3294,0.5,1.0,0.9979784366576819,0.9989881956155143
3295,0.5,1.0,0.9979784366576819,0.9989881956155143
3296,0.5,1.0,0.997979797979798,0.9989888776541962
3297,0.5,1.0,0.997979797979798,0.9989888776541962
3298,0.5,1.0,0.9979811574697174,0.998989558773998
3299,0.5,1.0,0.9979811574697174,0.998989558773998
3300,0.5,1.0,0.9979825151311366,0.9989902389767755
3301,0.5,1.0,0.9979825151311366,0.9989902389767755
3302,0.5,1.0,0.9979838709677419,0.9989909182643795
3303,0.5,1.0,0.9979838709677419,0.9989909182643795
3304,0.5,1.0,0.9979852249832102,0.9989915966386554
3305,0.5,1.0,0.9979852249832102,0.9989915966386554
3306,0.5,1.0,0.9979865771812081,0.9989922741014444
3307,0.5,1.0,0.9979865771812081,0.9989922741014444
3308,0.5,1.0,0.9979879275653923,0.998992950654582
3309,0.5,1.0,0.9979879275653923,0.998992950654582
3310,0.5,1.0,0.9979892761394102,0.9989936262998994
3311,0.5,1.0,0.9979892761394102,0.9989936262998994
3312,0.5,1.0,0.9979906229068989,0.9989943010392223
3313,0.5,1.0,0.9979906229068989,0.9989943010392223
3314,0.5,1.0,0.9979919678714859,0.9989949748743718
3315,0.5,1.0,0.9979919678714859,0.9989949748743718
3316,0.5,1.0,0.9979933110367893,0.9989956478071644
3317,0.5,1.0,0.9979933110367893,0.9989956478071644
3318,0.5,1.0,0.9979946524064172,0.9989963198394112
3319,0.5,1.0,0.9979946524064172,0.9989963198394112
3320,0.5,1.0,0.9979959919839679,0.9989969909729187
3321,0.5,1.0,0.9979959919839679,0.9989969909729187
3322,0.5,1.0,0.9979973297730307,0.9989976612094889
3323,0.5,1.0,0.9979973297730307,0.9989976612094889
3324,0.5,1.0,0.9979986657771848,0.9989983305509182
3325,0.5,1.0,0.9979986657771848,0.9989983305509182
3326,0.5,1.0,0.998,0.998998998998999
3327,0.5,1.0,0.998,0.998998998998999
3328,0.5,1.0,0.9980013324450366,0.9989996665555185
3329,0.5,1.0,0.9980013324450366,0.9989996665555185
3330,0.5,1.0,0.9980026631158455,0.9990003332222592
3331,0.5,1.0,0.9980026631158455,0.9990003332222592
3332,0.5,1.0,0.998003992015968,0.999000999000999
3333,0.5,1.0,0.998003992015968,0.999000999000999
3334,0.5,1.0,0.9980053191489362,0.9990016638935109
3335,0.5,1.0,0.9980053191489362,0.9990016638935109
3336,0.5,1.0,0.9980066445182725,0.9990023279015631
3337,0.5,1.0,0.9980066445182725,0.9990023279015631
3338,0.5,1.0,0.99800796812749,0.9990029910269193
3339,0.5,1.0,0.99800796812749,0.9990029910269193
3340,0.5,1.0,0.9980092899800929,0.9990036532713384
3341,0.5,1.0,0.9980092899800929,0.9990036532713384
3342,0.5,1.0,0.9980106100795756,0.9990043146365748
3343,0.5,1.0,0.9980106100795756,0.9990043146365748
3344,0.5,1.0,0.9980119284294234,0.9990049751243781
3345,0.5,1.0,0.9980119284294234,0.9990049751243781
3346,0.5,1.0,0.9980132450331126,0.9990056347364932
3347,0.5,1.0,0.9980132450331126,0.9990056347364932
3348,0.5,1.0,0.9980145598941098,0.9990062934746605
3349,0.5,1.0,0.9980145598941098,0.9990062934746605
3350,0.5,1.0,0.998015873015873,0.9990069513406157
3351,0.5,1.0,0.998015873015873,0.9990069513406157
3352,0.5,1.0,0.9980171844018506,0.9990076083360899
3353,0.5,1.0,0.9980171844018506,0.9990076083360899
3354,0.5,1.0,0.9980184940554822,0.9990082644628099
3355,0.5,1.0,0.9980184940554822,0.9990082644628099
3356,0.5,1.0,0.998019801980198,0.9990089197224975
3357,0.5,1.0,0.998019801980198,0.9990089197224975
3358,0.5,1.0,0.9980211081794196,0.9990095741168703
3359,0.5,1.0,0.9980211081794196,0.9990095741168703
3360,0.5,1.0,0.998022412656559,0.999010227647641
3361,0.5,1.0,0.998022412656559,0.999010227647641
3362,0.5,1.0,0.9980237154150198,0.9990108803165183
3363,0.5,1.0,0.9980237154150198,0.9990108803165183
3364,0.5,1.0,0.9980250164581962,0.9990115321252059
3365,0.5,1.0,0.9980250164581962,0.9990115321252059
3366,0.5,1.0,0.9980263157894737,0.9990121830754034
3367,0.5,1.0,0.9980263157894737,0.9990121830754034
3368,0.5,1.0,0.9980276134122288,0.9990128331688055
