Flow Duration,Flow Bytes/s,Flow Packets/s,Total Length of Fwd Packets,Total Backward Packets,Subflow Fwd Bytes,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Packet Length Std,Packet Length Variance,Bwd IAT Max,Bwd IAT Std,Bwd IAT Total,Active Max,Active Mean,Idle Max,Idle Mean,act_data_pkt_fwd,Label
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
39.6506268978,2.7237904782,0.0504405644,108,0,108,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,39.6506268978,39.6506268978,0,attack
28.3032391071,5.7237265101,0.1059949354,162,0,162,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,23.1754200459,14.1516195536,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
